pubmed_id,author_rank,affiliation
37742137,10,"Cardiff University Brain Research Imaging Centre (CUBRIC), School of Physics and Astronomy, Cardiff University, Cardiff, UK."
37742137,11,"Cardiff School of Sport and Health Sciences, Cardiff Metropolitan University, Cardiff, UK."
37742137,11,"Centre for Health, Activity and Wellbeing Research, Cardiff Metropolitan University, Cardiff, UK."
37742137,12,"Cardiff School of Sport and Health Sciences, Cardiff Metropolitan University, Cardiff, UK."
37742137,12,"Centre for Health, Activity and Wellbeing Research, Cardiff Metropolitan University, Cardiff, UK."
37742137,13,"Youth Physical Development Centre, Cardiff Metropolitan University, Cardiff, UK."
37742137,13,"Sports Performance Research Institute New Zealand, AUT University, Auckland, New Zealand."
37742137,14,"Youth Physical Development Centre, Cardiff Metropolitan University, Cardiff, UK."
37742137,14,"Sports Performance Research Institute New Zealand, AUT University, Auckland, New Zealand."
37742137,14,"Centre for Sport Science and Human Performance, Waikato Institute of Technology, Waikato, New Zealand."
37742137,15,"Centre for Heart, Lung and Vascular Health, School of Health and Exercise Sciences, University of British Columbia Okanagan, Kelowna, Canada."
37742137,16,"Centre for Heart, Lung and Vascular Health, School of Health and Exercise Sciences, University of British Columbia Okanagan, Kelowna, Canada."
37742137,17,"Cardiff School of Sport and Health Sciences, Cardiff Metropolitan University, Cardiff, UK."
37742137,17,"Centre for Health, Activity and Wellbeing Research, Cardiff Metropolitan University, Cardiff, UK."
37742137,17,"Youth Physical Development Centre, Cardiff Metropolitan University, Cardiff, UK."
37742170,0,"Department of Obstetrics and Gynecology, Kapilvastu District Hospital, Kapilvastu, Nepal."
37742170,1,"Deparment of General Practice, Patan Academy of Health Sciences, Kathmandu, Nepal."
37742170,2,"Patan Academy of Health Sciences, Kathmandu, Nepal."
37742167,0,"Department of Pediatrics, College of Medical Sciences and Teaching Hospital."
37742167,1,"Department of Pediatrics, College of Medical Sciences and Teaching Hospital."
37742167,2,"Department of Pediatrics, College of Medical Sciences and Teaching Hospital."
