pubmed_id,author_rank,last_name,fore_name,initials
37742137,0,Talbot,Jack S,JS
37742137,1,Perkins,Dean R,DR
37742137,2,Tallon,Christine M,CM
37742137,3,Dawkins,Tony G,TG
37742137,4,Douglas,Andrew J M,AJM
37742137,5,Beckerleg,Ryan,R
37742137,6,Crofts,Andrew,A
37742137,7,Wright,Melissa E,ME
37742137,8,Davies,Saajan,S
37742137,9,Steventon,Jessica J,JJ
37742137,10,Murphy,Kevin,K
37742137,11,Lord,Rachel N,RN
37742137,12,Pugh,Christopher J A,CJA
37742137,13,Oliver,Jon L,JL
37742137,14,Lloyd,Rhodri S,RS
37742137,15,Ainslie,Philip N,PN
37742137,16,McManus,Ali M,AM
37742137,17,Stembridge,Mike,M
37742170,0,Lama,Poonam,P
37742170,1,Jha,Gautam,G
37742170,2,Amatya,Indra Prasad,IP
37742167,0,Bhandari,Isha,I
37742167,1,Karmacharya Malla,Kalpana,K
37742167,2,Chaudhary,Brajesh Raj,BR
37742167,3,Ghimire,Pukar,P
37742166,0,Acharya,Priti,P
37742166,1,Neupane,Anil Prasad,AP
37742166,2,Sigdel,Brihaspati,B
37742166,3,Ghimire,Laxmi,L
37742166,4,Pant,Madhab Raj,MR
37742166,5,Budhathoki,Abiruchi,A
37742166,6,Poudyal,Anil,A
37742163,0,Pant,Suman,S
37742163,1,Rajbhandari,Bibek,B
37742163,2,Gurung,Minani,M
37742163,3,Poudel,Lisasha,L
37742163,4,Maharjan,Ashmita,A
37742163,5,Nepal,Sujita,S
37742163,6,Thapa,Tek Bahadur,TB
37742163,7,Malla,Nabina,N
37742163,8,Lama,Tashi,T
37742163,9,Sharma,Dikshya,D
37742163,10,Gurung,Chandani,C
37742163,11,Parajuli,Yubraj,Y
37742163,12,Panta,Niranjan,N
37742157,0,Shah,Tej Prakash,TP
37742157,1,Shrestha,Anjan,A
37742157,2,Agrawal,Jagdish Prasad,JP
37742157,3,Rimal,Suman,S
37742157,4,Basnet,Anita,A
37742161,0,Chaulagain,Rajib,R
37742161,1,Thakur,Smriti Narayan,SN
37742161,2,Khanal,Bibek,B
37742161,3,Sapkota,Srijana Mishra,SM
37742161,4,Chaudhary,Navin Kumar,NK
37742168,0,Malla,Pragya,P
37742168,1,Khanal,Madhav Prasad,MP
37742168,2,Pokhrel,Asmita,A
37742168,3,Sah,Bishesh,B
37742168,4,Pathak,Sonam,S
37742168,5,Subedi,Anukul,A
37742168,6,Sapkota,Srijana,S
37742169,0,Dhakal,Ajaya Kumar,AK
37742169,1,Adhikari,Ramesh Kant,RK
37742165,0,Jaisani,Mehul R,MR
37742165,1,Dongol,Ashok,A
37742165,2,Acharya,Pradeep,P
37742165,3,Yadav,Anjani Kr,AK
37742165,4,Pasvan,Chandrakant,C
37742165,5,Rai,Siddhartha,S
37742165,6,Laverick,Sean,S
37742159,0,Sah,Sadhana,S
37742159,1,Dangal,Ganesh,G
37742159,2,Jha,Meena,M
37742171,0,Bista,Bipin,B
37742171,1,Yadav,Reena,R
37742171,2,Gupta,Sharad,S
37742171,3,Das,Sandip Sanyam,SS
37742171,4,Rajak,Ashik,A
37742171,5,Acharya,Rajesh,R
37742171,6,Neupane,Rasik,R
37742171,7,Bista,Padam Raj,PR
37742160,0,Yodying,Jirawadee,J
37742160,1,Sunmahakhun,Chantham,C
37742160,2,Ghimire,Pradesh,P
37742160,3,Bista,Neha,N
37742151,0,Thapa,Bipin,B
37742151,1,Sapkota,Suman,S
37742151,2,Khanal,Anil,A
37742151,3,Aryal,Binod Kumar,BK
37742151,4,Hu,Yifei,Y
37742155,0,Pudasaini,Sangita,S
37742155,1,Dangal,Ganesh,G
37742148,0,Ghimire,Mahesh Raj,MR
37742148,1,Acharya,Sumnima,S
37742148,2,Pandey,Sundar,S
37742106,4,Zawadzki,Marcin,M
37742106,5,Kropińska,Sylwia,S
37742106,6,Leppert,Wojciech,W
37742106,7,Wieczorowska-Tobis,Katarzyna,K
37742108,0,Luo,Shanshan,S
37742108,1,Ye,Danyu,D
37742108,2,Wang,Yu,Y
37742108,3,Liu,Xingeng,X
37742108,4,Wang,Xiaoqian,X
37742108,5,Xie,Liping,L
37742108,6,Ji,Yong,Y
37742099,0,Peng,Bohao,B
37742099,1,Liu,Zaichun,Z
37742099,2,Zhou,Qi,Q
37742099,3,Xiong,Xiaosong,X
37742099,4,Xia,Shuang,S
37742099,5,Yuan,Xuelong,X
37742099,6,Wang,Faxing,F
